HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
23,Slovenia,0.918,80.7,17.7,12.8,"39,746",10,SVN,Europe,Northern Hemisphere,Very High,,23,12.0,10.0,7.5
7,Sweden,0.947,83.0,19.4,12.6,"54,489",9,SWE,Europe,Northern Hemisphere,Very High,,7,6.5,4.5,4.5
72,Seychelles,0.785,71.3,13.9,10.3,"25,831",-17,SYC,Africa,Southern Hemisphere,High,SSA,72,55.0,54.0,54.0
150,Syrian Arab Republic,0.577,72.1,9.2,5.1,"4,192",-2,SYR,Asia,Northern Hemisphere,Medium,AS,150,34.0,26.5,29.5
190,Chad,0.394,52.5,8.0,2.6,"1,364",-7,TCD,Africa,Northern Hemisphere,Low,SSA,190,1360.0,1330.0,1175.0
162,Togo,0.539,61.6,13.0,5.0,"2,167",12,TGO,Africa,Northern Hemisphere,Low,SSA,162,509.0,464.5,409.0
66,Thailand,0.8,78.7,15.9,8.7,"17,030",6,THA,Asia,Northern Hemisphere,Very High,EAP,66,40.0,42.5,39.0
122,Tajikistan,0.685,71.6,11.7,11.3,"4,548",23,TJK,Asia,Northern Hemisphere,Medium,ECA,122,67.5,38.0,19.5
91,Turkmenistan,0.745,69.3,13.2,11.3,"13,021",-1,TKM,Asia,Northern Hemisphere,High,ECA,91,50.5,19.5,8.5
140,Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,TLS,Asia,Southern Hemisphere,Medium,EAP,140,1076.0,482.0,170.0
91,Tonga,0.745,71.0,16.0,11.4,"6,822",34,TON,Oceania,Southern Hemisphere,High,EAP,91,87.0,67.0,54.0
57,Trinidad and Tobago,0.81,73.0,14.5,11.6,"23,392",1,TTO,America,Northern Hemisphere,Very High,LAC,57,93.0,76.0,69.5
97,Tunisia,0.731,73.8,15.4,7.4,"10,258",10,TUN,Africa,Northern Hemisphere,High,AS,97,102.5,56.0,44.5
130,Tuvalu,0.641,64.5,9.4,10.6,"6,351",-2,TUV,Oceania,Southern Hemisphere,Medium,EAP,130,,,
166,Uganda,0.525,62.7,10.1,5.7,"2,181",6,UGA,Africa,Northern Hemisphere,Low,SSA,166,668.5,504.0,397.0
77,Ukraine,0.773,71.6,15.0,11.1,"13,256",11,UKR,Europe,Northern Hemisphere,High,ECA,77,41.0,30.0,21.0
58,Uruguay,0.809,75.4,16.8,9.0,"21,269",5,URY,America,Southern Hemisphere,Very High,LAC,58,31.5,21.5,17.0
21,United States,0.921,77.2,16.3,13.7,"64,765",-14,USA,America,Northern Hemisphere,Very High,,21,11.5,13.5,17.0
101,Uzbekistan,0.727,70.9,12.5,11.9,"7,917",18,UZB,Asia,Northern Hemisphere,High,ECA,101,46.5,36.0,30.5
89,Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,"11,961",11,VCT,America,Northern Hemisphere,High,LAC,89,81.5,71.5,66.0
115,Viet Nam,0.703,73.6,13.0,8.4,"7,867",6,VNM,Asia,Northern Hemisphere,High,EAP,115,93.5,57.5,45.0
140,Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,VUT,Oceania,Southern Hemisphere,Medium,EAP,140,190.5,116.0,80.0
111,Samoa,0.707,72.8,12.4,11.4,"5,308",24,WSM,Oceania,Southern Hemisphere,High,EAP,111,117.5,73.0,48.5
183,Yemen,0.455,63.8,9.1,3.2,"1,314",1,YEM,Asia,Northern Hemisphere,Low,AS,183,377.5,246.5,175.5
109,South Africa,0.713,62.3,13.6,11.4,"12,948",-17,ZAF,Africa,Southern Hemisphere,High,SSA,109,162.0,165.5,140.0
154,Zambia,0.565,61.2,10.9,7.2,"3,218",7,ZMB,Africa,Southern Hemisphere,Medium,SSA,154,599.5,416.5,248.0
146,Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,ZWE,Africa,Southern Hemisphere,Medium,SSA,146,486.5,588.5,507.5
