HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
148,Angola,0.586,61.6,12.2,5.4,"5,466",-14,Africa,Southern Hemisphere,Medium,SSA,0.7015,0.611,0.5405,1029.5,576.5,270.5
149,Myanmar,0.585,65.7,10.9,6.4,"3,851",5,Asia,Northern Hemisphere,Medium,EAP,,0.555,0.5349999999999999,391.0,302.5,254.5
150,Syrian Arab Republic,0.577,72.1,9.2,5.1,"4,192",-2,Asia,Northern Hemisphere,Medium,AS,0.5165,0.485,0.484,34.0,26.5,29.5
151,Cameroon,0.576,60.3,13.1,6.2,"3,621",6,Africa,Northern Hemisphere,Medium,SSA,0.7,0.6599999999999999,0.595,851.5,741.5,559.0
152,Kenya,0.575,61.4,10.7,6.7,"4,474",-6,Africa,Northern Hemisphere,Medium,SSA,0.704,0.6425,0.5469999999999999,720.5,570.0,370.0
153,Congo,0.571,63.5,12.3,6.2,"2,889",11,Africa,Southern Hemisphere,Medium,SSA,0.624,0.6174999999999999,0.586,713.0,622.5,433.0
154,Zambia,0.565,61.2,10.9,7.2,"3,218",7,Africa,Southern Hemisphere,Medium,SSA,0.657,0.617,0.565,599.5,416.5,248.0
155,Solomon Islands,0.564,70.3,10.3,5.7,"2,482",13,Oceania,Southern Hemisphere,Medium,EAP,,,,329.5,193.0,119.0
156,Comoros,0.558,63.4,11.9,5.1,"3,142",6,Africa,Southern Hemisphere,Medium,SSA,,,,522.0,392.5,299.5
156,Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,Oceania,Southern Hemisphere,Medium,EAP,0.6625000000000001,0.6545000000000001,0.6885,299.0,208.5,155.5
158,Mauritania,0.556,64.4,9.4,4.9,"5,075",-20,Africa,Northern Hemisphere,Medium,SSA,0.782,0.7005,0.643,822.0,829.0,794.0
161,Pakistan,0.544,66.1,8.7,4.5,"4,624",-19,Asia,Northern Hemisphere,Low,SA,0.79,0.673,0.5555,358.0,238.5,160.0
162,Togo,0.539,61.6,13.0,5.0,"2,167",12,Africa,Northern Hemisphere,Low,SSA,0.732,0.6435,0.604,509.0,464.5,409.0
163,Haiti,0.535,63.2,9.7,5.6,"2,848",2,America,Northern Hemisphere,Low,LAC,,0.625,0.6325000000000001,572.5,471.5,488.0
163,Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,Africa,Northern Hemisphere,Low,SSA,,0.672,0.678,1220.0,1089.0,944.5
165,Rwanda,0.534,66.1,11.2,4.4,"2,210",6,Africa,Southern Hemisphere,Low,SSA,0.599,0.5065,0.41500000000000004,1225.0,766.5,298.5
166,Benin,0.525,59.8,10.8,4.3,"3,409",-7,Africa,Northern Hemisphere,Low,SSA,0.6855,0.646,0.614,548.5,492.0,427.5
166,Uganda,0.525,62.7,10.1,5.7,"2,181",6,Africa,Northern Hemisphere,Low,SSA,0.653,0.6005,0.542,668.5,504.0,397.0
168,Lesotho,0.514,53.1,12.0,6.0,"2,700",-2,Africa,Southern Hemisphere,Low,SSA,0.5854999999999999,0.5715,0.557,600.0,604.0,564.5
169,Malawi,0.512,62.9,12.7,4.5,"1,466",13,Africa,Southern Hemisphere,Low,SSA,0.7025,0.639,0.5715,867.5,596.5,388.5
170,Senegal,0.511,67.1,9.0,2.9,"3,344",-10,Africa,Northern Hemisphere,Low,SSA,0.6695,0.6225,0.5549999999999999,569.5,500.0,369.0
171,Djibouti,0.509,62.3,7.4,4.1,"5,025",-32,Africa,Northern Hemisphere,Low,AS,,,,564.5,395.0,260.0
