HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
52,Russian Federation,0.822,69.4,15.8,12.8,"27,166",-1,RUS,Europe,Northern Hemisphere,Very High,,0.41900000000000004,0.355,0.252
165,Rwanda,0.534,66.1,11.2,4.4,"2,210",6,RWA,Africa,Southern Hemisphere,Low,SSA,0.599,0.5065,0.41500000000000004
35,Saudi Arabia,0.875,76.9,16.1,11.3,"46,112",-10,SAU,Asia,Northern Hemisphere,Very High,AS,,0.651,0.445
172,Sudan,0.508,65.3,7.9,3.8,"3,575",-14,SDN,Africa,Northern Hemisphere,Low,AS,0.728,0.659,0.5785
170,Senegal,0.511,67.1,9.0,2.9,"3,344",-10,SEN,Africa,Northern Hemisphere,Low,SSA,0.6695,0.6225,0.5549999999999999
12,Singapore,0.939,82.8,16.5,11.9,"90,919",-10,SGP,Asia,Northern Hemisphere,Very High,EAP,0.2565,0.17450000000000002,0.063
155,Solomon Islands,0.564,70.3,10.3,5.7,"2,482",13,SLB,Oceania,Southern Hemisphere,Medium,EAP,,,
181,Sierra Leone,0.477,60.1,9.6,4.6,"1,622",-1,SLE,Africa,Northern Hemisphere,Low,SSA,0.691,0.6745,0.6445000000000001
125,El Salvador,0.675,70.7,12.7,7.2,"8,296",-8,SLV,America,Northern Hemisphere,Medium,LAC,0.5215000000000001,0.47650000000000003,0.4
44,San Marino,0.853,80.9,12.3,10.8,"52,654",-25,SMR,Europe,Northern Hemisphere,Very High,,,,
63,Serbia,0.802,74.2,14.4,11.4,"19,123",4,SRB,Europe,Northern Hemisphere,Very High,ECA,,0.194,0.1615
191,South Sudan,0.385,55.0,5.5,5.7,768,-1,SSD,Africa,Northern Hemisphere,Low,SSA,,,0.597
138,Sao Tome and Principe,0.618,67.6,13.4,6.2,"4,021",13,STP,Africa,Northern Hemisphere,Medium,SSA,0.6174999999999999,0.5745,0.5195000000000001
99,Suriname,0.73,70.3,13.0,9.8,"12,672",-6,SUR,America,Northern Hemisphere,High,LAC,,0.517,0.4625
45,Slovakia,0.848,74.9,14.5,12.9,"30,690",1,SVK,Europe,Northern Hemisphere,Very High,,0.253,0.20900000000000002,0.19
23,Slovenia,0.918,80.7,17.7,12.8,"39,746",10,SVN,Europe,Northern Hemisphere,Very High,,0.2395,0.1585,0.0745
7,Sweden,0.947,83.0,19.4,12.6,"54,489",9,SWE,Europe,Northern Hemisphere,Very High,,0.08,0.055999999999999994,0.0375
72,Seychelles,0.785,71.3,13.9,10.3,"25,831",-17,SYC,Africa,Southern Hemisphere,High,SSA,,,
150,Syrian Arab Republic,0.577,72.1,9.2,5.1,"4,192",-2,SYR,Asia,Northern Hemisphere,Medium,AS,0.5165,0.485,0.484
190,Chad,0.394,52.5,8.0,2.6,"1,364",-7,TCD,Africa,Northern Hemisphere,Low,SSA,,0.747,0.681
162,Togo,0.539,61.6,13.0,5.0,"2,167",12,TGO,Africa,Northern Hemisphere,Low,SSA,0.732,0.6435,0.604
66,Thailand,0.8,78.7,15.9,8.7,"17,030",6,THA,Asia,Northern Hemisphere,Very High,EAP,0.4295,0.392,0.351
122,Tajikistan,0.685,71.6,11.7,11.3,"4,548",23,TJK,Asia,Northern Hemisphere,Medium,ECA,0.5295000000000001,0.38,0.314
91,Turkmenistan,0.745,69.3,13.2,11.3,"13,021",-1,TKM,Asia,Northern Hemisphere,High,ECA,0.3,0.235,0.1945
140,Timor-Leste,0.607,67.7,12.6,5.4,"4,461",7,TLS,Asia,Southern Hemisphere,Medium,EAP,,0.453,0.40800000000000003
91,Tonga,0.745,71.0,16.0,11.4,"6,822",34,TON,Oceania,Southern Hemisphere,High,EAP,0.6885,0.655,0.5295
57,Trinidad and Tobago,0.81,73.0,14.5,11.6,"23,392",1,TTO,America,Northern Hemisphere,Very High,LAC,0.4285,0.3835,0.3565
97,Tunisia,0.731,73.8,15.4,7.4,"10,258",10,TUN,Africa,Northern Hemisphere,High,AS,0.48000000000000004,0.34199999999999997,0.27449999999999997
130,Tuvalu,0.641,64.5,9.4,10.6,"6,351",-2,TUV,Oceania,Southern Hemisphere,Medium,EAP,,,
166,Uganda,0.525,62.7,10.1,5.7,"2,181",6,UGA,Africa,Northern Hemisphere,Low,SSA,0.653,0.6005,0.542
77,Ukraine,0.773,71.6,15.0,11.1,"13,256",11,UKR,Europe,Northern Hemisphere,High,ECA,0.4195,0.34099999999999997,0.259
58,Uruguay,0.809,75.4,16.8,9.0,"21,269",5,URY,America,Southern Hemisphere,Very High,LAC,0.406,0.351,0.2825
21,United States,0.921,77.2,16.3,13.7,"64,765",-14,USA,America,Northern Hemisphere,Very High,,0.2855,0.2615,0.21
101,Uzbekistan,0.727,70.9,12.5,11.9,"7,917",18,UZB,Asia,Northern Hemisphere,High,ECA,,0.3145,0.259
89,Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,"11,961",11,VCT,America,Northern Hemisphere,High,LAC,,,0.39
115,Viet Nam,0.703,73.6,13.0,8.4,"7,867",6,VNM,Asia,Northern Hemisphere,High,EAP,0.372,0.3215,0.308
140,Vanuatu,0.607,70.4,11.5,7.1,"3,085",23,VUT,Oceania,Southern Hemisphere,Medium,EAP,,,
111,Samoa,0.707,72.8,12.4,11.4,"5,308",24,WSM,Oceania,Southern Hemisphere,High,EAP,,,0.4485
183,Yemen,0.455,63.8,9.1,3.2,"1,314",1,YEM,Asia,Northern Hemisphere,Low,AS,0.807,0.8015000000000001,0.8095
109,South Africa,0.713,62.3,13.6,11.4,"12,948",-17,ZAF,Africa,Southern Hemisphere,High,SSA,0.485,0.4495,0.42300000000000004
154,Zambia,0.565,61.2,10.9,7.2,"3,218",7,ZMB,Africa,Southern Hemisphere,Medium,SSA,0.657,0.617,0.565
146,Zimbabwe,0.593,59.3,12.1,8.7,"3,810",9,ZWE,Africa,Southern Hemisphere,Medium,SSA,0.6034999999999999,0.6085,0.5595
